"filename", "language", "Python", "pip requirements", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\admin.py", "Python", 5, 0, 0, 0, 1, 0, 6
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\forms.py", "Python", 11, 0, 0, 0, 0, 3, 14
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\0001_initial.py", "Python", 47, 0, 0, 0, 1, 7, 55
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\0002_remove_customuser_vidio_customuser_active_and_more.py", "Python", 27, 0, 0, 0, 1, 6, 34
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\0003_customuser_date_of_birth_customuser_gender_and_more.py", "Python", 22, 0, 0, 0, 1, 6, 29
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\0004_remove_customuser_interests_customuser_interests.py", "Python", 17, 0, 0, 0, 1, 6, 24
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\0005_alter_customuser_gender_alter_customuser_interests.py", "Python", 18, 0, 0, 0, 1, 6, 25
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\models.py", "Python", 38, 0, 0, 0, 1, 14, 53
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\urls.py", "Python", 9, 0, 0, 0, 0, 2, 11
"c:\Users\User\Documents\Softwhere\python\django\vidio\MyAccount\views.py", "Python", 39, 0, 0, 0, 1, 11, 51
"c:\Users\User\Documents\Softwhere\python\django\vidio\README.md", "Markdown", 0, 0, 22, 0, 0, 12, 34
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\admin.py", "Python", 13, 0, 0, 0, 1, 5, 19
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0001_initial.py", "Python", 19, 0, 0, 0, 1, 7, 27
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0002_vidio_publick_vidio_relateed_to_chenel_vidio_watched.py", "Python", 26, 0, 0, 0, 1, 6, 33
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0003_color.py", "Python", 15, 0, 0, 0, 1, 6, 22
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0004_remove_color_color_color_extra_color_and_more.py", "Python", 47, 0, 0, 0, 1, 6, 54
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0005_chapter_color_chapter_color_color_chapter_color2_and_more.py", "Python", 33, 0, 0, 0, 1, 6, 40
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0006_rename_slag_chapter_slug.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0007_remove_vidio_topik_vidio_topik.py", "Python", 16, 0, 0, 0, 1, 6, 23
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0008_delete_color.py", "Python", 10, 0, 0, 0, 1, 6, 17
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0009_alter_vidio_topik.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0010_vidio_content_is_18_plus.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\0011_rename_content_is_18_plus_vidio_content_is_only_18_plus.py", "Python", 12, 0, 0, 0, 1, 6, 19
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\models.py", "Python", 30, 0, 0, 0, 1, 13, 44
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\User\Documents\Softwhere\python\django\vidio\main\urls.py", "Python", 9, 0, 0, 0, 0, 2, 11
